"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"humanGene"	"Gene.title"	"Gene.symbol"
10371154	0.243960040219402	0.00503968900148647	3.99614994530739	-1.7623558996212	0.669393333333332	"C19orf71"	"RIKEN cDNA 4930404N11 gene"	"4930404N11Rik"
10389010	0.214600292614005	0.00306717701294629	-4.39059128433193	-1.29395920592657	-0.782200000000001	"C17orf75"	"RIKEN cDNA 5730455P16 gene"	"5730455P16Rik"
10398824	0.249882334109947	0.00553303673955961	3.92397574894728	-1.85099549094736	0.571316666666666	"C14orf180"	"RIKEN cDNA A530016L24 gene"	"A530016L24Rik"
10475517	0.249925849288641	0.00579047346297415	3.88904752790894	-1.89421164831206	1.18719	"C15orf48"	"expressed sequence AA467197"	"AA467197"
10519578	0.184672160866292	0.00168799787044507	-4.89129852155688	-0.738921321107221	-0.731466666666666	"ABCB4"	"ATP-binding cassette, sub-family B (MDR/TAP), member 4"	"Abcb4"
10355742	0.182944041580027	0.00152607244925226	-4.97895922953839	-0.646272373522579	-0.908263333333334	"ABCB6"	"ATP-binding cassette, sub-family B (MDR/TAP), member 6"	"Abcb6"
10600235	0.249922638743614	0.00560003064576454	3.91471853914687	-1.86242908035454	0.475343333333332	"ABCD1"	"ATP-binding cassette, sub-family D (ALD), member 1"	"Abcd1"
10474181	0.164365179814197	0.00077186491495845	5.59745610799007	-0.0296966011156705	0.82863	"ABTB2"	"ankyrin repeat and BTB (POZ) domain containing 2"	"Abtb2"
10557199	0.232948727281182	0.00420612788037233	-4.13762966731056	-1.59121202963422	-0.785739999999999	"ACP1"	"acid phosphatase 1, soluble"	"Acp1"
10467124	0.164365179814197	0.000781042291505154	5.58632561459099	-0.0402324539132719	0.992119999999999	"ACTA2"	"actin, alpha 2, smooth muscle, aorta"	"Acta2"
10499560	0.193818428899874	0.00190787631102925	4.78611076765361	-0.851861233730945	0.650313333333334	"ADAM15"	"a disintegrin and metallopeptidase domain 15 (metargidin)"	"Adam15"
10494632	0.145768722864531	0.000250081339147721	-6.73242072565167	0.945236505424377	-1.14659666666667	"ADAM30"	"a disintegrin and metallopeptidase domain 30"	"Adam30"
10375751	0.160764879429103	0.000407516659080776	6.22207906176997	0.530421968391889	1.35195666666667	"ADAMTS2"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2"	"Adamts2"
10546454	0.160764879429103	0.000530195719675707	5.95909037919429	0.301913073905904	0.871113333333334	"ADAMTS9"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9"	"Adamts9"
10496438	0.160764879429103	0.000551385482149989	5.92061795894349	0.267606395834304	0.995750000000002	"ADH1C"	"alcohol dehydrogenase 1 (class I)"	"Adh1"
10413086	0.137112957517224	0.000219806462439019	-6.87239485239526	1.05273950424707	-0.984169999999999	"ADK"	"adenosine kinase"	"Adk"
10404376	0.239241581741387	0.00472094579097241	-4.04700452720449	-1.70043834139121	-0.586866666666666	"AGTR1"	"angiotensin II receptor, type 1a"	"Agtr1a"
10602372	0.200432362240477	0.00209885492890102	-4.70508607780874	-0.94017911671092	-0.676666666666669	"ALAS2"	"aminolevulinic acid synthase 2, erythroid"	"Alas2"
10461979	0.160764879429103	0.00058668357249953	-5.86005706172465	0.213140287629339	-1.11211666666667	"ALDH1A1"	"aldehyde dehydrogenase family 1, subfamily A1"	"Aldh1a1"
10582925	0.190665150662563	0.00180841732986555	-4.8319360982202	-0.80242094405066	-0.768380000000001	"ALKBH8"	"alkB homolog 8, tRNA methyltransferase"	"Alkbh8"
10527638	0.162544823689327	0.000694950685187309	5.69696410705563	0.0636102509469296	0.927099999999999	"ALOX5AP"	"arachidonate 5-lipoxygenase activating protein"	"Alox5ap"
10354979	0.197553756917621	0.00202136707201758	-4.7369392277882	-0.905321179809976	-0.618243333333334	"ALS2"	"amyotrophic lateral sclerosis 2 (juvenile)"	"Als2"
10590918	0.247960372857649	0.00540836924696947	3.94153174657075	-1.82935222082477	0.648086666666667	"AMOTL1"	"angiomotin-like 1"	"Amotl1"
10450038	0.208606142095933	0.00264093472152993	4.51319659324137	-1.15395715035775	0.792429999999999	"ANGPTL4"	"angiopoietin-like 4"	"Angptl4"
10428008	0.178213952266961	0.00116982150705399	5.21466158740895	-0.403718631884969	1.07514666666667	"ANKRD33B"	"ankyrin repeat domain 33B"	"Ankrd33b"
10413229	0.209094156071548	0.00268223702164812	4.50039550219877	-1.16845013475592	0.760689999999997	"ANXA11"	"annexin A11"	"Anxa11"
10586744	0.129386075496127	0.000200141583763274	6.97545347177706	1.13023961160416	0.939789999999999	"ANXA2"	"annexin A2"	"Anxa2"
10530287	0.174674774276422	0.0010443627711781	5.3173468983104	-0.300999350253619	0.706063333333334	"APBB2"	"amyloid beta (A4) precursor protein-binding, family B, member 2"	"Apbb2"
10601473	0.228515104706275	0.00384266102021612	-4.20924822011873	-1.50590955613453	-1.04008333333334	"APOOL"	"apolipoprotein O-like"	"Apool"
10582390	0.237367908406248	0.00459130263294785	4.06877083408103	-1.67407390232391	0.549333333333331	"APRT"	"adenine phosphoribosyl transferase"	"Aprt"
10600901	0.233766527421706	0.00427616775388826	4.12460831530048	-1.60681791563242	0.930006666666666	"AR"	"androgen receptor"	"Ar"
10530100	0.22038338368912	0.00325450735298723	-4.34251237204652	-1.34958676973667	-1.16751333333334	"ARAP2"	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"	"Arap2"
10396831	0.203420458110534	0.00236489605099731	4.60484577108961	-1.05104205654618	1.17461333333334	"ARG2"	"arginase type II"	"Arg2"
10548892	0.220969417539719	0.00329378420789884	4.332817256564	-1.36085362914684	0.920233333333332	"ARHGDIB"	"Rho, GDP dissociation inhibitor (GDI) beta"	"Arhgdib"
10413419	0.160764879429103	0.000500610770907141	6.01577807929761	0.352049834256515	1.21366333333333	"ARHGEF3"	"Rho guanine nucleotide exchange factor (GEF) 3"	"Arhgef3"
