"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"9606"	"Gene.title"	"Gene.symbol"
"1586888_at"	0.209000521362507	0.00591395361704401	-3.40088115543711	-2.1366553646941	-0.851813663666664	"ABCA5"	"ATP-binding cassette, sub-family A (ABC1), member 5"	"ABCA5"
"1585327_at"	0.124623323213599	0.00179477475915901	4.08739801744855	-1.01275180787818	0.950876337000004	"ABCB6"	"ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)"	"ABCB6"
"1606019_at"	0.043046396590362	0.000114000184478987	5.82905791130186	1.54645899994043	0.645192445833333	"ABHD16A"	"abhydrolase domain containing 16A"	"ABHD16A"
"1584674_s_at"	0.0413080476144604	9.99797568412037e-05	-5.91929433664376	1.66553004392915	-1.10601214533333	"ABLIM1"	"actin binding LIM protein 1"	"ABLIM1"
"1599410_s_at"	0.0786581669257277	0.0007571454706229	4.60510398426652	-0.202277410947987	2.09753089433334	"ACTG2"	"actin, gamma 2, smooth muscle, enteric"	"ACTG2"
"1597846_at"	0.202284670202922	0.00546242587577112	-3.44583639272884	-2.0618610637336	-0.391977761666663	"ACTN2"	"actinin, alpha 2"	"ACTN2"
"1583391_at"	0.218711478461154	0.00684778319307369	3.31810640503581	-2.27463682440802	0.788303591166668	"ACYP1"	"acylphosphatase 1, erythrocyte (common) type"	"ACYP1"
"1584900_at"	0.0303024105901667	3.27064254441754e-05	6.72098475647427	2.66474640000964	1.2532122685	"ADA"	"adenosine deaminase"	"ADA"
"1600204_at"	0.230109315245284	0.00763131135055617	3.25710028695477	-2.37650776979354	0.3615876905	"ADD1"	"adducin 1 (alpha)"	"ADD1"
"1583214_at"	0.168152792146802	0.00381126639666987	3.65074812529501	-1.72262566457121	0.261793650000003	"ADSL"	"adenylosuccinate lyase"	"ADSL"
"1604884_at"	0.20552704292933	0.00564677234995902	-3.42703876905584	-2.09312196178536	-0.857993588999997	"AGGF1"	"angiogenic factor with G patch and FHA domains 1"	"AGGF1"
"1583362_at"	0.162200857941027	0.00352035483926704	3.69624246767664	-1.64775686226304	0.636179071999999	"AIMP2"	"aminoacyl tRNA synthetase complex-interacting multifunctional protein 2"	"AIMP2"
"1588958_at"	0.16553425586094	0.00362731359809026	3.67907952572908	-1.67598004379591	0.530075878833334	"AIP"	"aryl hydrocarbon receptor interacting protein"	"AIP"
"1591761_at"	0.0610895002571497	0.00032922323575519	5.12673563869599	0.573183548392213	0.650622217333335	"ALAD"	"aminolevulinate dehydratase"	"ALAD"
"1583918_at"	0.11390076465714	0.00149207407163655	4.19647884187438	-0.838893532829823	0.545164999666667	"AMZ2"	"archaelysin family metallopeptidase 2"	"AMZ2"
"1585409_at"	0.232077447061208	0.00776405961815607	3.24740007939204	-2.39271659469163	0.677980037000001	"ANK1"	"ankyrin 1, erythrocytic"	"ANK1"
"1591611_at"	0.0587869640514156	0.000282215054976171	5.22595575138105	0.71567653856153	0.872213656000008	"ANKHD1"	"ankyrin repeat and KH domain containing 1"	"ANKHD1"
"1591611_at"	0.0587869640514156	0.000282215054976171	5.22595575138105	0.71567653856153	0.872213656000008	"ANKHD1-EIF4EBP3"	"ankyrin repeat and KH domain containing 1"	"ANKHD1"
"1596754_at"	0.0774583727038257	0.00071205589293896	4.64276571404062	-0.144845267471299	0.827891320833334	"ANKRA2"	"ankyrin repeat, family A (RFXANK-like), 2"	"ANKRA2"
"1602054_at"	0.144859970727543	0.00267754389083654	-3.85396590776509	-1.38970824158209	-1.415276779	"ANKRD1"	"ankyrin repeat domain 1 (cardiac muscle)"	"ANKRD1"
"1603793_at"	0.0650137298503695	0.000471102183796613	-4.8993525755752	0.240526191966549	-0.659579866166665	"ANP32B"	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B"	"ANP32B"
"1582654_at"	0.167326179625525	0.00370580633759723	-3.66681329765681	-1.69616694488912	-1.49556647783333	"ANXA4"	"annexin A4"	"ANXA4"
"1588526_at"	0.11390076465714	0.00149084269613904	-4.19696836490175	-0.838116817456622	-0.260971276666664	"ANXA5"	"annexin A5"	"ANXA5"
"1586771_at"	0.249212450135073	0.00916603541845116	3.15416990168405	-2.54861001580199	0.375230045166669	"AP2M1"	"adaptor-related protein complex 2, mu 1 subunit"	"AP2M1"
"1596497_at"	0.238608392939693	0.00823200452370034	3.21450321265816	-2.44770475900303	0.536032908166669	"AP3S2"	"adaptor-related protein complex 3, sigma 2 subunit"	"AP3S2"
"1583705_at"	0.142188951018247	0.00256492765618633	3.87886940340618	-1.34919651876297	0.492484171833336	"APEH"	"acylaminoacyl-peptide hydrolase"	"APEH"
"1583307_at"	0.137594762730284	0.00231309725327538	3.93892611402859	-1.2517798430602	1.380525443	"APOD"	"apolipoprotein D"	"APOD"
"1588520_at"	0.0479564563305452	0.000163998381531396	5.58297937766468	1.21483519268089	0.571256456000002	"ARF5"	"ADP-ribosylation factor 5"	"ARF5"
"1596264_at"	0.221938288884866	0.00706859864680665	3.30022121113433	-2.30448892937535	0.113508216500001	"ARHGAP42"	"Rho GTPase activating protein 42"	"ARHGAP42"
"1588266_at"	0.164401093944639	0.00358873295024051	-3.6852093560588	-1.66589697240053	-0.906214552666665	"ARPP21"	"cAMP-regulated phosphoprotein, 21kDa"	"ARPP21"
"1596075_s_at"	0.246768651426505	0.00898051090082808	3.16564145679332	-2.52942003780415	0.458762972333336	"ASB11"	"ankyrin repeat and SOCS box containing 11, E3 ubiquitin protein ligase"	"ASB11"
"1585777_at"	0.167195769268087	0.0036777056260199	3.67117359245502	-1.68898956467702	0.550629621666671	"ASB2"	"ankyrin repeat and SOCS box containing 2"	"ASB2"
"1583195_s_at"	0.249212450135073	0.00914099210237844	3.15570459096181	-2.54604265201004	0.216734036666674	"ATP5C1"	"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"	"ATP5C1"
"1583386_at"	0.196769143102037	0.00518101945146542	3.4758228474173	-2.01203614577718	0.304553966666671	"ATP5G2"	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)"	"ATP5G2"
"1583549_at"	0.122534814653794	0.00172517576645567	4.11068213433692	-0.975511652494494	0.56280264066667	"ATP6V0C"	"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c"	"ATP6V0C"
"1587282_at"	0.241074474654595	0.00850333823267276	3.1962880697768	-2.47816242615948	0.668151372000001	"ATP6V0D1"	"ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1"	"ATP6V0D1"
"1582424_s_at"	0.0485865699458925	0.000181520088234571	5.51530078276589	1.1218512983647	0.513596863000007	"ATP6V0E1"	"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1"	"ATP6V0E1"
"1604443_at"	0.0870466977666798	0.000906395171827176	-4.49541717500182	-0.370773559389922	-1.30363660516666	"ATRX"	"alpha thalassemia/mental retardation syndrome X-linked"	"ATRX"
"1583878_at"	0.143015412257773	0.00260158509313475	3.8706407363087	-1.36257508943213	0.372402827500002	"ATXN10"	"ataxin 10"	"ATXN10"
"1584615_at"	0.20620397254679	0.00574297853536411	3.41747676811752	-2.10903144083764	0.597075826499999	"BABAM1"	"BRISC and BRCA1 A complex member 1"	"BABAM1"
"1589009_at"	0.168043407217657	0.00379473256795611	3.65323626992826	-1.71852633484501	0.498792656666669	"BACE1"	"beta-site APP-cleaving enzyme 1"	"BACE1"
