"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"223986_x_at"	3.46645835833087e-05	8.55825584126077e-10	9.18278875901441	10.9652470537925	2.28461896424363	"DMRT2"	"doublesex and mab-3 related transcription factor 2"
"231348_s_at"	0.000144298314183283	9.12362850048365e-09	-8.16212842121449	9.11643336168953	-4.04744923589171	"LMO3"	"LIM domain only 3"
"226800_at"	0.000144298314183283	1.05568039640262e-08	-8.10108264272307	9.00018579170024	-1.55589063091329	"EFCAB7"	"EF-hand calcium binding domain 7"
"243932_at"	0.000241710081790195	2.2104259880219e-08	-7.7949573007352	8.4075996539964	-2.94132292101713	""	""
"240967_at"	0.000631511875233962	6.93017147033155e-08	-7.33110310936312	7.47936287289618	-2.34890292580187	"KRTAP19-3"	"keratin associated protein 19-3"
"1556096_s_at"	0.000734094955740985	1.07412156304122e-07	-7.15605711277303	7.119758333651	-3.04279134637868	"UNC13C"	"unc-13 homolog C"
"205372_at"	0.000827117353350004	1.51278894074075e-07	-7.02027841334534	6.83739166715652	-1.77198479287774	"PLAG1"	"PLAG1 zinc finger"
"235571_at"	0.00108714082378237	2.18720604693297e-07	-6.87505692959218	6.53213352549738	-1.22153453405254	"MIR34A"	"microRNA 34a"
"228116_at"	0.00143074065765438	3.14017153943347e-07	-6.73351508776032	6.23144160158139	-1.28979510365892	"LINC01296///DUXAP10///DUXAP8"	"long intergenic non-protein coding RNA 1296///double homeobox A pseudogene 10///double homeobox A pseudogene 8"
"241942_at"	0.0016877473732148	4.01293385492316e-07	-6.63802479658139	6.02685417343822	-2.00209960660504	"PXDNL"	"peroxidasin like"
"202284_s_at"	0.00181320532462429	4.64286685774852e-07	-6.58143316637613	5.90496277906359	-2.45922212651805	"CDKN1A"	"cyclin dependent kinase inhibitor 1A"
"223536_at"	0.00185098871653982	5.10346019767642e-07	-6.54479272578001	5.8257916346293	-3.16756918341347	"PSD2"	"pleckstrin and Sec7 domain containing 2"
"229331_at"	0.00249054376255275	7.9294106924693e-07	-6.37479773785842	5.45593528906194	-1.69800050144649	"SPATA18"	"spermatogenesis associated 18"
"238047_at"	0.00249054376255275	8.37960036307228e-07	-6.35357381139709	5.40947116895981	-3.28644046031327	"ARHGAP36"	"Rho GTPase activating protein 36"
"227297_at"	0.00249054376255275	8.6548388639236e-07	-6.34116043063531	5.38226637514718	-1.15712541030584	"ITGA9"	"integrin subunit alpha 9"
"215228_at"	0.00252493238678659	9.23614956300536e-07	-6.31620913298952	5.32751946197421	-2.86686921536345	"NHLH2"	"nescient helix-loop-helix 2"
"228260_at"	0.00331685968806617	1.27396531228879e-06	-6.19310704931994	5.05617708825384	-3.00381358857923	"ELAVL2"	"ELAV like neuron-specific RNA binding protein 2"
"205453_at"	0.00350061704334581	1.56131338735986e-06	6.11552678049355	4.88414335168575	1.05220823684971	"HOXB2"	"homeobox B2"
"212771_at"	0.00350061704334581	1.57726622811986e-06	6.11165465619923	4.87553656969092	0.843539091951003	"FAM171A1"	"family with sequence similarity 171 member A1"
"34471_at"	0.00350061704334581	1.65666504382018e-06	-6.09295444059245	4.83394366464731	-3.63145908498063	"MYH8"	"myosin heavy chain 8"
"238097_at"	0.00350061704334581	1.67777327729894e-06	-6.08813562301479	4.82321847966719	-3.02322746731516	"GAS6-AS1"	"GAS6 antisense RNA 1"
"216870_x_at"	0.00350061704334581	1.75055027079141e-06	-6.07197969154606	4.78723900028469	-0.948142669466897	"DLEU2"	"deleted in lymphocytic leukemia 2 (non-protein coding)"
"212681_at"	0.00350061704334581	1.91528439630686e-06	-6.03778970133398	4.71098946559685	-1.12752528460657	"EPB41L3"	"erythrocyte membrane protein band 4.1 like 3"
"1557466_at"	0.00350061704334581	1.91772639982657e-06	-6.03730557650959	4.70990873890127	-2.91812895246448	"FLJ31104"	"uncharacterized LOC441072"
"237804_at"	0.00350061704334581	1.92077752721307e-06	-6.03670156965341	4.70856035514245	-3.65536396218174	"DNAH11"	"dynein axonemal heavy chain 11"
"225639_at"	0.0052408006074587	3.06731814245411e-06	-5.85935393325535	4.31074584014792	-1.03658867390644	"SKAP2"	"src kinase associated phosphoprotein 2"
"203021_at"	0.0061552400834348	3.8873890465045e-06	-5.76993204215265	4.10878281524755	-1.63170271773482	"SLPI"	"secretory leukocyte peptidase inhibitor"
"242881_x_at"	0.0061552400834348	3.90830011315931e-06	-5.76790983438773	4.10420539864969	-1.49203407671971	"DUXAP10"	"double homeobox A pseudogene 10"
"236278_at"	0.0061552400834348	3.94025428294866e-06	5.76484071453649	4.09725737494606	1.52232984417705	"HIST1H3E"	"histone cluster 1, H3e"
"207345_at"	0.00668967770884042	4.40472606343402e-06	-5.72286488203129	4.00212923616276	-2.26365441539251	"FST"	"follistatin"
"215629_s_at"	0.00682535263157103	4.61889432772068e-06	-5.70499439268575	3.96157356760555	-1.24905202163042	"MIR15A///DLEU2L///DLEU2"	"microRNA 15a///deleted in lymphocytic leukemia 2-like///deleted in lymphocytic leukemia 2 (non-protein coding)"
"219564_at"	0.00719265527452185	4.99901052458766e-06	-5.67524468006623	3.89398551612431	-2.56749648770413	"KCNJ16"	"potassium voltage-gated channel subfamily J member 16"
