"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"9606"	"Gene.title"	"Gene.symbol"
"1367974_at"	0.194989136827894	0.000232669321090874	-4.40363461929983	0.26346682000875	-0.286506956984178	"ANXA3"	"annexin A3"	"Anxa3"
"1368000_at"	0.0836787262838179	4.23790961738469e-05	-5.10963700341619	1.52058284360644	-0.579867008104561	"C3"	"complement component 3"	"C3"
"1387818_at"	0.152283700760461	0.00016258386691753	-4.55154750980126	0.531130234600046	-0.426281325268985	"CASP4"	"caspase 4"	"Casp4"
"1367709_at"	0.147630904096124	0.000148344813511147	-4.58940639680754	0.599330874224602	-0.30192285081103	"CD63"	"Cd63 molecule"	"Cd63"
"1367679_at"	0.0440218301955088	7.44114257823354e-06	-5.84645986414365	2.76079628249059	-1.48078856676291	"CD74"	"CD74 molecule"	"Cd74"
"1370219_at"	0.145738645322931	0.000137290691442817	-4.62140778716856	0.656873150186579	-0.308799927585971	"CYBA"	"cytochrome b-245 alpha chain"	"Cyba"
"1371079_at"	0.0440218301955088	1.07359119349193e-05	-5.6893491064359	2.50358402482525	-0.678215426882431	"FCGR2B"	"Fc fragment of IgG, low affinity IIb, receptor"	"Fcgr2b"
"1368187_at"	0.00147640539705877	9.27215598228202e-08	-7.83768420754264	5.64099088020668	-0.650989163033408	"GPNMB"	"glycoprotein nmb"	"Gpnmb"
"1367612_at"	0.0925432394323449	5.81192234078659e-05	-4.97788865693132	1.29038124654018	-0.483761185846227	"MGST1"	"microsomal glutathione S-transferase 1"	"Mgst1"
"1398892_at"	0.0440218301955088	1.10586774340285e-05	-5.67670162593179	2.4826998211802	-0.285903108858383	"NPC2"	"NPC intracellular cholesterol transporter 2"	"Npc2"
"1371974_at"	0.0836787262838179	4.11953685735316e-05	-5.12147887745909	1.54115975598754	-0.390015937618804	"PHYHD1"	"phytanoyl-CoA dioxygenase domain containing 1"	"Phyhd1"
"1390687_at"	0.105852657948331	8.64211865432587e-05	-4.81303314496768	0.999223125108462	-0.575169421923456	"PLEK"	"pleckstrin"	"Plek"
"1370883_at"	0.0836787262838179	4.72968998652491e-05	-5.06378381868107	1.44072637707982	-1.50791100882105	"HLA-DRA"	"RT1 class II, locus Da"	"RT1-Da"
"1372254_at"	0.153846782975217	0.000173914594834761	-4.5237301245308	0.480934779472881	-0.577052492128066	"SERPING1"	"serpin family G member 1"	"Serping1"
"1377156_at"	0.143822019275848	0.000126452821067756	-4.65540560177891	0.717894669909711	-0.28245419882926	"TCF7L2"	"transcription factor 7 like 2"	"Tcf7l2"
"1373204_at"	0.0836787262838179	3.52379538045546e-05	-5.18685068090447	1.65440221252231	-0.294361719203383	"TMEM176A"	"transmembrane protein 176A"	"Tmem176a"
